"","PctRespMA7Days","RespVisits","AdmissionDate","PctResp","AllVisits","PHU","phuname"
"1","13.043478",39,2019-09-23,13.043,299,"APH","The District of Algoma Health Unit"
"2","11.148649",27,2019-09-24,9.215,293,"APH","The District of Algoma Health Unit"
"3","11.212815",32,2019-09-25,11.348,282,"APH","The District of Algoma Health Unit"
"4","11.002662",26,2019-09-26,10.277,253,"APH","The District of Algoma Health Unit"
"5","10.503597",22,2019-09-27,8.365,263,"APH","The District of Algoma Health Unit"
"6","9.722222",15,2019-09-28,5.639,266,"APH","The District of Algoma Health Unit"
"7","9.711846",21,2019-09-29,9.633,218,"APH","The District of Algoma Health Unit"
"8","9.346787",33,2019-09-30,10.714,308,"APH","The District of Algoma Health Unit"
"9","9.276139",24,2019-10-01,8.727,275,"APH","The District of Algoma Health Unit"
"10","9.391965",32,2019-10-02,12.355,259,"APH","The District of Algoma Health Unit"
"11","9.348291",28,2019-10-03,9.894,283,"APH","The District of Algoma Health Unit"
"12","9.677419",30,2019-10-04,10.638,282,"APH","The District of Algoma Health Unit"
"13","10.402145",26,2019-10-05,10.833,240,"APH","The District of Algoma Health Unit"
"14","10.819328",33,2019-10-06,12.84,257,"APH","The District of Algoma Health Unit"
"15","10.298826",20,2019-10-07,7.194,278,"APH","The District of Algoma Health Unit"
"16","10.980810",37,2019-10-08,13.357,277,"APH","The District of Algoma Health Unit"
"17","10.793651",30,2019-10-09,10.989,273,"APH","The District of Algoma Health Unit"
"18","10.574342",21,2019-10-10,8.203,256,"APH","The District of Algoma Health Unit"
"19","10.937500",36,2019-10-11,13.091,275,"APH","The District of Algoma Health Unit"
"20","11.069114",28,2019-10-12,11.864,236,"APH","The District of Algoma Health Unit"
"21","11.037528",28,2019-10-13,12.903,217,"APH","The District of Algoma Health Unit"
"22","12.399541",36,2019-10-14,17.308,208,"APH","The District of Algoma Health Unit"
"23","12.064037",32,2019-10-15,11.268,284,"APH","The District of Algoma Health Unit"
"24","12.191011",36,2019-10-16,11.842,304,"APH","The District of Algoma Health Unit"
"25","12.431544",31,2019-10-17,10.265,302,"APH","The District of Algoma Health Unit"
"26","11.995578",26,2019-10-18,10.078,258,"APH","The District of Algoma Health Unit"
"27","11.885019",26,2019-10-19,11.017,236,"APH","The District of Algoma Health Unit"
"28","11.938664",31,2019-10-20,13.248,234,"APH","The District of Algoma Health Unit"
"29","11.275807",31,2019-10-21,11.439,271,"APH","The District of Algoma Health Unit"
"30","11.194430",28,2019-10-22,10.687,262,"APH","The District of Algoma Health Unit"
"31","10.982340",26,2019-10-23,10.442,249,"APH","The District of Algoma Health Unit"
"32","10.801782",26,2019-10-24,9.091,286,"APH","The District of Algoma Health Unit"
"33","10.920177",29,2019-10-25,10.902,266,"APH","The District of Algoma Health Unit"
"34","10.931400",25,2019-10-26,11.111,225,"APH","The District of Algoma Health Unit"
"35","10.851419",30,2019-10-27,12.605,238,"APH","The District of Algoma Health Unit"
"36","10.816901",28,2019-10-28,11.245,249,"APH","The District of Algoma Health Unit"
"37","10.620012",9,2019-10-29,7.759,116,"APH","The District of Algoma Health Unit"
"38","10.499028",15,2019-10-30,9.202,163,"APH","The District of Algoma Health Unit"
"39","10.344828",20,2019-10-31,7.968,251,"APH","The District of Algoma Health Unit"
"40","9.921156",24,2019-11-01,8.571,280,"APH","The District of Algoma Health Unit"
"41","10.236220",30,2019-11-02,13.216,227,"APH","The District of Algoma Health Unit"
"42","10.189419",30,2019-11-03,12.245,245,"APH","The District of Algoma Health Unit"
"43","10.399493",36,2019-11-04,12.203,295,"APH","The District of Algoma Health Unit"
