"","PctRespMA7Days","RespVisits","AllVisits","AdmissionDate","PctResp","Phu","PhuName","HUID","CutoffGreen","CutoffRed"
"1",0.13043478,39,299,2019-09-23,0.13043,"APH","The District of Algoma Health Unit","2226",15,20
"2",0.11148649,27,293,2019-09-24,0.09215,"APH","The District of Algoma Health Unit","2226",15,20
"3",0.11212815,32,282,2019-09-25,0.11348,"APH","The District of Algoma Health Unit","2226",15,20
"4",0.11002662,26,253,2019-09-26,0.10277,"APH","The District of Algoma Health Unit","2226",15,20
"5",0.10503597,22,263,2019-09-27,0.08365,"APH","The District of Algoma Health Unit","2226",15,20
"6",0.09722222,15,266,2019-09-28,0.05639,"APH","The District of Algoma Health Unit","2226",15,20
"7",0.09711846,21,218,2019-09-29,0.09633,"APH","The District of Algoma Health Unit","2226",15,20
"8",0.09346787,33,308,2019-09-30,0.10714,"APH","The District of Algoma Health Unit","2226",15,20
"9",0.09276139,24,275,2019-10-01,0.08727,"APH","The District of Algoma Health Unit","2226",15,20
"10",0.09391965,32,259,2019-10-02,0.12355,"APH","The District of Algoma Health Unit","2226",15,20
"11",0.09348291,28,283,2019-10-03,0.09894,"APH","The District of Algoma Health Unit","2226",15,20
"12",0.09677419,30,282,2019-10-04,0.10638,"APH","The District of Algoma Health Unit","2226",15,20
"13",0.10402145,26,240,2019-10-05,0.10833,"APH","The District of Algoma Health Unit","2226",15,20
"14",0.10819328,33,257,2019-10-06,0.1284,"APH","The District of Algoma Health Unit","2226",15,20
"15",0.10298826,20,278,2019-10-07,0.07194,"APH","The District of Algoma Health Unit","2226",15,20
"16",0.1098081,37,277,2019-10-08,0.13357,"APH","The District of Algoma Health Unit","2226",15,20
"17",0.10793651,30,273,2019-10-09,0.10989,"APH","The District of Algoma Health Unit","2226",15,20
"18",0.10574342,21,256,2019-10-10,0.08203,"APH","The District of Algoma Health Unit","2226",15,20
"19",0.109375,36,275,2019-10-11,0.13091,"APH","The District of Algoma Health Unit","2226",15,20
"20",0.11069114,28,236,2019-10-12,0.11864,"APH","The District of Algoma Health Unit","2226",15,20
"21",0.11037528,28,217,2019-10-13,0.12903,"APH","The District of Algoma Health Unit","2226",15,20
"22",0.12399541,36,208,2019-10-14,0.17308,"APH","The District of Algoma Health Unit","2226",15,20
"23",0.12064037,32,284,2019-10-15,0.11268,"APH","The District of Algoma Health Unit","2226",15,20
"24",0.12191011,36,304,2019-10-16,0.11842,"APH","The District of Algoma Health Unit","2226",15,20
"25",0.12431544,31,302,2019-10-17,0.10265,"APH","The District of Algoma Health Unit","2226",15,20
"26",0.11995578,26,258,2019-10-18,0.10078,"APH","The District of Algoma Health Unit","2226",15,20
"27",0.11885019,26,236,2019-10-19,0.11017,"APH","The District of Algoma Health Unit","2226",15,20
"28",0.11938664,31,234,2019-10-20,0.13248,"APH","The District of Algoma Health Unit","2226",15,20
"29",0.11275807,31,271,2019-10-21,0.11439,"APH","The District of Algoma Health Unit","2226",15,20
"30",0.1119443,28,262,2019-10-22,0.10687,"APH","The District of Algoma Health Unit","2226",15,20
"31",0.1098234,26,249,2019-10-23,0.10442,"APH","The District of Algoma Health Unit","2226",15,20
