"","Central","Central East","Central West","Champlain","Erie St. Clair","Hamilton Niagara Haldimand Brant","Mississauga Halton","North East","North Simcoe Muskoka","North West","South East","South West","Toronto Central","Waterloo Wellington"
"2019-09-23",0.05546,0.05724,0.04107,0.05397,0.06345,0.04779,0.04696,0.09422,0.06728,0.0779,0.08262,0.08643,0.04391,0.05422
"2019-09-24",0.04527,0.05468,0.04507,0.04921,0.05422,0.06168,0.03289,0.09282,0.06825,0.06,0.08717,0.08814,0.0433,0.03018
"2019-09-25",0.04,0.04132,0.04442,0.06037,0.07181,0.04743,0.0414,0.10063,0.08434,0.07815,0.07979,0.07913,0.03534,0.04735
"2019-09-26",0.03834,0.04317,0.045,0.05683,0.05256,0.05646,0.04004,0.09799,0.08651,0.08458,0.07735,0.09081,0.02562,0.04094
"2019-09-27",0.03519,0.04273,0.04084,0.05388,0.04968,0.05373,0.04516,0.08989,0.06755,0.0713,0.08037,0.0755,0.0347,0.04184
"2019-09-28",0.04969,0.04915,0.06236,0.05935,0.0873,0.07208,0.03682,0.09238,0.07994,0.07273,0.07184,0.10256,0.03969,0.06628
"2019-09-29",0.0623,0.06944,0.06309,0.06121,0.09281,0.06617,0.05336,0.10773,0.09445,0.07807,0.09571,0.09881,0.04,0.05099
"2019-09-30",0.05298,0.05665,0.04935,0.05074,0.05839,0.06138,0.03895,0.10454,0.0495,0.09532,0.08945,0.08404,0.04788,0.03914
"2019-10-01",0.04509,0.04402,0.04516,0.05011,0.06516,0.04878,0.04263,0.08124,0.08017,0.05603,0.07931,0.09179,0.03481,0.0449
"2019-10-02",0.03965,0.05305,0.03273,0.04906,0.05784,0.05701,0.05405,0.09893,0.06812,0.06421,0.08117,0.08848,0.04202,0.03193
"2019-10-03",0.04613,0.04865,0.04557,0.04814,0.08322,0.04837,0.0593,0.09596,0.05469,0.06757,0.09342,0.08974,0.03681,0.05178
"2019-10-04",0.03982,0.05611,0.0368,0.05159,0.06421,0.05577,0.03495,0.10109,0.07825,0.07843,0.06466,0.08338,0.04145,0.04381
"2019-10-05",0.04877,0.06005,0.06199,0.0652,0.06983,0.07626,0.0366,0.10899,0.10455,0.06742,0.08234,0.10438,0.05317,0.05831
"2019-10-06",0.064,0.06071,0.05186,0.07183,0.09809,0.07256,0.05444,0.09083,0.08929,0.08007,0.08571,0.11009,0.06012,0.06022
"2019-10-07",0.04275,0.06976,0.04458,0.0537,0.07822,0.05894,0.04874,0.08359,0.07639,0.06483,0.07283,0.09671,0.04396,0.0406
"2019-10-08",0.05596,0.05573,0.03685,0.05164,0.06962,0.04966,0.04554,0.10398,0.06516,0.05797,0.08079,0.09027,0.03878,0.04139
"2019-10-09",0.04788,0.05231,0.05097,0.0573,0.06604,0.05827,0.04533,0.09723,0.09065,0.06189,0.07816,0.08187,0.04075,0.06114
"2019-10-10",0.04557,0.04783,0.05128,0.05587,0.05496,0.05379,0.03992,0.09883,0.05324,0.07258,0.08594,0.08573,0.04313,0.04802
"2019-10-11",0.04506,0.05879,0.05,0.05725,0.07374,0.06165,0.04171,0.09779,0.07218,0.075,0.08234,0.08748,0.05207,0.05324
"2019-10-12",0.05867,0.07139,0.07171,0.07062,0.09726,0.06644,0.05386,0.11959,0.08819,0.06526,0.09794,0.12254,0.05505,0.07669
"2019-10-13",0.06965,0.0819,0.06648,0.06869,0.08345,0.08428,0.06746,0.11992,0.10598,0.07692,0.11561,0.10321,0.06883,0.0779
"2019-10-14",0.07179,0.08581,0.06786,0.0981,0.10165,0.098,0.08387,0.12704,0.09091,0.10338,0.1239,0.14132,0.0688,0.09347
"2019-10-15",0.0551,0.06316,0.04976,0.05412,0.06313,0.07258,0.05249,0.11631,0.09312,0.10064,0.11014,0.09834,0.04614,0.04834
"2019-10-16",0.05192,0.04962,0.03929,0.06381,0.08931,0.05987,0.04473,0.09914,0.09531,0.07832,0.07903,0.09638,0.05204,0.03918
"2019-10-17",0.05213,0.05235,0.03605,0.04874,0.07671,0.06908,0.04625,0.09098,0.07031,0.07244,0.08369,0.10105,0.04496,0.05652
"2019-10-18",0.04922,0.06099,0.04839,0.04974,0.06494,0.06899,0.0554,0.09552,0.06467,0.08319,0.08911,0.09439,0.04623,0.04545
"2019-10-19",0.05396,0.05644,0.04563,0.06299,0.07493,0.08125,0.04863,0.0936,0.06331,0.09747,0.10183,0.099,0.05163,0.05645
"2019-10-20",0.05257,0.0704,0.03646,0.06627,0.0958,0.09481,0.06232,0.10332,0.08095,0.09363,0.08861,0.11545,0.06965,0.06347
"2019-10-21",0.04506,0.07063,0.05066,0.05978,0.06731,0.05716,0.03984,0.10404,0.10207,0.09688,0.10246,0.09735,0.04254,0.03755
"2019-10-22",0.05197,0.05962,0.04598,0.0625,0.08322,0.05707,0.05941,0.09913,0.0786,0.07231,0.10841,0.09963,0.04549,0.04741
"2019-10-23",0.04875,0.05479,0.04298,0.05559,0.07607,0.0626,0.03943,0.10415,0.07872,0.0573,0.08088,0.1158,0.04259,0.05178
"2019-10-24",0.05459,0.05831,0.0431,0.06144,0.0701,0.06129,0.04027,0.0856,0.07436,0.06401,0.06942,0.10265,0.03976,0.04091
"2019-10-25",0.04709,0.06205,0.04878,0.05736,0.08369,0.06296,0.05,0.101,0.07284,0.06724,0.08441,0.10042,0.04213,0.05247
"2019-10-26",0.05444,0.06631,0.05457,0.07321,0.0654,0.07309,0.06104,0.10158,0.07042,0.05501,0.08824,0.10291,0.06162,0.06565
"2019-10-27",0.06258,0.07172,0.06447,0.08239,0.10884,0.07739,0.05767,0.11173,0.10534,0.09174,0.11771,0.12722,0.07259,0.07589
"2019-10-28",0.04965,0.05994,0.04922,0.05851,0.07758,0.06855,0.04076,0.10627,0.10591,0.08215,0.09538,0.12164,0.0442,0.05533
"2019-10-29",0.04863,0.05843,0.04104,0.05985,0.06369,0.05812,0.04331,0.10515,0.09091,0.08444,0.08563,0.09264,0.03979,0.02436
"2019-10-30",0.0559,0.06075,0.04225,0.05903,0.08093,0.06722,0.04651,0.09501,0.07131,0.04167,0.07505,0.10822,0.04991,0.04277
"2019-10-31",0.04762,0.05127,0.04816,0.05813,0.06447,0.05063,0.05011,0.08044,0.06927,0.03802,0.08995,0.09607,0.03974,0.05778
"2019-11-01",0.04827,0.07017,0.04178,0.05842,0.06936,0.05948,0.037,0.09581,0.07873,0.07544,0.10022,0.1071,0.04653,0.04407
"2019-11-02",0.0669,0.06985,0.0575,0.07422,0.09701,0.07072,0.06002,0.10683,0.07023,0.09381,0.12315,0.11908,0.0442,0.05132
"2019-11-03",0.06952,0.07416,0.07607,0.07254,0.09511,0.08579,0.07714,0.10695,0.08554,0.07018,0.10011,0.11822,0.06643,0.07468
"2019-11-04",0.05741,0.06514,0.06905,0.05926,0.07908,0.06784,0.05456,0.11641,0.09267,0.09844,0.10277,0.10801,0.04509,0.05667
"2019-11-05",0.05521,0.07068,0.05179,0.06619,0.08713,0.06854,0.05545,0.10492,0.09302,0.0757,0.1068,0.10345,0.04297,0.05281
"2019-11-06",0.05909,0.07102,0.05284,0.05588,0.06223,0.07305,0.05692,0.10633,0.09568,0.04909,0.09467,0.11245,0.04223,0.05068
"2019-11-07",0.0519,0.05632,0.06027,0.05034,0.06684,0.06789,0.03814,0.11478,0.07994,0.08238,0.1,0.10317,0.04129,0.05039
"2019-11-08",0.06263,0.06239,0.04377,0.06254,0.04741,0.06819,0.05734,0.1047,0.06957,0.08378,0.08352,0.10712,0.04386,0.04952
"2019-11-09",0.05248,0.07003,0.04839,0.08466,0.10028,0.09107,0.0732,0.1217,0.09901,0.06346,0.09181,0.11359,0.05706,0.06397
"2019-11-10",0.0795,0.08358,0.07497,0.0711,0.07888,0.09726,0.05917,0.12732,0.09748,0.09962,0.14659,0.12806,0.06824,0.06569
"2019-11-11",0.06033,0.05251,0.06304,0.0772,0.08466,0.07017,0.06076,0.12009,0.07868,0.08276,0.09414,0.1206,0.05667,0.05124
"2019-11-12",0.05996,0.05798,0.03779,0.05291,0.08029,0.06369,0.0543,0.11408,0.07018,0.06469,0.07303,0.10827,0.03562,0.06
"2019-11-13",0.04876,0.05166,0.03582,0.05993,0.0758,0.07893,0.05485,0.10995,0.09106,0.06261,0.11699,0.10744,0.05263,0.03878
"2019-11-14",0.0464,0.06007,0.04581,0.0694,0.09985,0.07692,0.05957,0.10425,0.06491,0.05091,0.08127,0.09994,0.04388,0.04478
"2019-11-15",0.05776,0.05971,0.04194,0.06809,0.07973,0.07517,0.04672,0.10998,0.0827,0.06452,0.10317,0.11331,0.05088,0.04142
"2019-11-16",0.06983,0.0829,0.05674,0.0752,0.08732,0.084,0.06834,0.10884,0.08507,0.07495,0.11323,0.10765,0.05442,0.07292
"2019-11-17",0.06632,0.08192,0.06324,0.10061,0.09309,0.09434,0.07322,0.09659,0.09967,0.10079,0.10909,0.12805,0.07582,0.06391
"2019-11-18",0.05047,0.05641,0.06132,0.06852,0.06561,0.06731,0.04969,0.10789,0.08104,0.07155,0.1056,0.10538,0.04534,0.03795
"2019-11-19",0.04672,0.06729,0.05,0.0598,0.05882,0.08482,0.04757,0.10271,0.07077,0.07395,0.09375,0.10399,0.04983,0.06284
"2019-11-20",0.05645,0.05886,0.05284,0.05059,0.08128,0.07442,0.04487,0.09557,0.0784,0.06806,0.10823,0.12406,0.04899,0.06549
"2019-11-21",0.06242,0.05439,0.04811,0.059,0.06564,0.06706,0.06084,0.10118,0.06557,0.06375,0.08675,0.11118,0.04325,0.06162
"2019-11-22",0.05534,0.04762,0.06946,0.05916,0.09354,0.06069,0.06324,0.08748,0.06847,0.07934,0.10641,0.11744,0.04729,0.05441
"2019-11-23",0.0628,0.06671,0.04888,0.05855,0.09746,0.08414,0.06499,0.11406,0.09147,0.10163,0.10742,0.12981,0.06776,0.07824
"2019-11-24",0.07896,0.08966,0.0609,0.08244,0.08333,0.10073,0.0749,0.11944,0.1039,0.07537,0.11073,0.12546,0.06867,0.08227
"2019-11-25",0.06656,0.06076,0.06497,0.06641,0.07882,0.08087,0.06973,0.112,0.07734,0.06179,0.09749,0.11982,0.0625,0.06436
"2019-11-26",0.06045,0.06897,0.03771,0.06438,0.0753,0.06997,0.06537,0.10231,0.1,0.0776,0.09617,0.11383,0.05936,0.06457
"2019-11-27",0.04954,0.06701,0.04172,0.05229,0.08104,0.07583,0.06034,0.12169,0.0752,0.07143,0.11372,0.13073,0.05267,0.05749
"2019-11-28",0.07046,0.06392,0.05688,0.06363,0.07143,0.06998,0.06601,0.08688,0.09354,0.06168,0.10279,0.11862,0.04806,0.05837
"2019-11-29",0.05707,0.06524,0.04497,0.06578,0.08441,0.08188,0.06468,0.10297,0.07504,0.07059,0.10301,0.12711,0.05709,0.05303
