"","Central","Central East","Central West","Champlain","Erie St. Clair","Hamilton Niagara Haldimand Brant","Mississauga Halton","North East","North Simcoe Muskoka","North West","South East","South West","Toronto Central","Waterloo Wellington"
"2019-09-23",98,115,40,87,54,106,58,132,51,49,87,179,58,43
"2019-09-24",76,94,37,72,43,127,37,128,49,33,87,168,54,22
"2019-09-25",68,74,39,87,54,94,45,127,56,49,77,146,44,34
"2019-09-26",61,78,36,84,40,111,42,122,59,51,69,166,32,28
"2019-09-27",57,72,33,77,39,98,49,112,46,40,70,135,44,30
"2019-09-28",81,81,54,80,66,134,38,97,51,36,62,168,46,46
"2019-09-29",97,115,47,80,71,125,54,117,63,42,78,166,46,36
"2019-09-30",87,98,42,75,47,130,46,145,35,59,89,168,61,31
"2019-10-01",73,78,35,70,52,94,46,97,55,33,74,170,44,33
"2019-10-02",63,93,27,68,45,113,52,120,47,40,78,159,50,22
"2019-10-03",71,79,35,66,64,89,58,114,35,40,88,154,42,35
"2019-10-04",62,95,29,73,47,100,36,121,50,44,58,148,47,29
"2019-10-05",77,98,46,83,53,132,37,114,62,36,69,155,57,40
"2019-10-06",104,106,39,103,77,133,57,104,60,47,78,192,71,43
"2019-10-07",74,134,37,85,65,122,54,110,55,40,78,194,56,30
"2019-10-08",92,105,29,77,55,94,47,136,46,36,74,167,47,31
"2019-10-09",79,93,42,82,49,112,48,123,64,38,73,140,50,45
"2019-10-10",73,85,40,79,41,100,42,118,37,45,77,152,54,34
"2019-10-11",73,103,37,79,57,118,42,124,48,45,76,153,63,37
"2019-10-12",90,122,55,93,71,115,53,127,56,34,81,187,60,50
"2019-10-13",109,143,47,93,62,148,68,124,62,39,100,161,72,49
"2019-10-14",114,159,53,134,74,186,92,140,59,55,113,236,84,63
"2019-10-15",95,120,42,84,50,148,58,154,65,63,113,189,58,35
"2019-10-16",77,91,31,91,66,108,45,127,65,43,78,173,60,25
"2019-10-17",76,87,27,64,55,122,45,113,45,41,79,174,54,39
"2019-10-18",76,101,39,66,50,121,60,113,41,47,81,170,54,31
"2019-10-19",81,85,36,81,52,146,48,95,39,50,89,158,57,35
"2019-10-20",86,122,28,88,73,181,66,112,51,50,77,195,84,45
"2019-10-21",72,133,42,92,56,117,41,139,74,59,104,191,55,27
"2019-10-22",78,106,36,93,60,109,60,126,54,41,107,188,55,33
"2019-10-23",76,99,34,81,55,112,44,123,54,31,77,203,52,35
"2019-10-24",85,101,35,87,49,117,42,107,49,37,69,182,47,27
"2019-10-25",72,112,34,76,58,120,52,121,48,39,85,168,49,34
"2019-10-26",81,112,40,88,48,126,60,103,40,28,81,152,66,43
"2019-10-27",99,122,43,109,80,141,59,121,69,50,107,201,76,51
"2019-10-28",85,117,41,88,64,138,47,144,77,52,99,244,56,41
"2019-10-29",78,104,33,86,47,111,45,100,63,51,87,165,46,17
"2019-10-30",82,104,30,84,59,122,48,101,42,22,74,187,57,29
"2019-10-31",64,81,34,74,43,88,44,88,39,20,77,149,42,36
"2019-11-01",74,119,31,77,48,106,37,112,47,43,90,181,53,29
"2019-11-02",94,114,41,95,65,128,56,111,42,50,108,181,48,33
"2019-11-03",109,124,62,98,70,160,81,117,55,40,89,194,74,41
"2019-11-04",98,125,56,87,62,135,64,161,67,63,104,213,57,34
"2019-11-05",79,121,39,92,65,129,58,130,64,43,99,174,48,31
"2019-11-06",90,111,41,76,44,138,58,121,62,27,87,196,47,26
"2019-11-07",75,90,44,67,50,122,36,146,51,43,87,169,46,26
"2019-11-08",93,108,33,90,33,119,57,127,48,47,74,182,50,26
"2019-11-09",75,111,36,106,71,156,68,120,60,33,74,168,57,30
"2019-11-10",121,140,59,93,59,167,60,137,62,53,129,199,75,36
"2019-11-11",92,89,44,107,64,119,59,153,55,48,82,209,65,29
"2019-11-12",87,93,28,71,55,110,53,141,44,37,62,178,40,33
"2019-11-13",71,87,24,80,57,148,56,126,54,35,104,182,59,19
"2019-11-14",67,99,35,93,68,144,61,125,42,28,69,166,48,24
"2019-11-15",86,99,32,86,59,125,47,130,54,36,91,195,55,21
"2019-11-16",97,128,40,94,62,126,68,112,49,41,83,159,56,35
"2019-11-17",101,135,48,133,66,145,76,102,60,51,84,194,79,34
"2019-11-18",80,103,52,106,54,119,56,145,56,43,100,192,56,23
