"","Brant County Health Unit","Chatham-Kent Health Unit","City of Hamilton Health Unit","City of Ottawa Health Unit","Durham Regional Health Unit","Grey Bruce Health Unit","Haldimand-Norfolk Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit","Halton Regional Health Unit","Hastings and Prince Edward Counties Health Unit","Kingston, Frontenac and Lennox and Addington Health Unit","Lambton Health Unit","Leeds, Grenville and Lanark District Health Unit","Middlesex-London Health Unit","Niagara Regional Area Health Unit","North Bay Parry Sound District Health Unit","Northwestern Health Unit","Peel Public Health","Peterborough Public Health","Porcupine Health Unit","Renfrew County and District Health Unit","Simcoe Muskoka District Health Unit","Southwestern Public Health","Sudbury and District Health Unit","The District of Algoma Health Unit","The Eastern Ontario Health Unit","Thunder Bay District Health Unit","Timiskaming Health Unit","Toronto Public Health","Waterloo Health Unit","Wellington-Dufferin-Guelph Health Unit","Windsor-Essex County Health Unit","York Regional Health Unit"
"2019-09-23",0.06154,0.0838,0.04588,0.03835,0.03022,0.13211,0.02273,0.11794,0.04904,0.09357,0.0775,0.09442,0.07538,0.05316,0.04908,0.11824,0.09804,0.04315,0.06048,0.08201,0.07692,0.06642,0.08091,0.05471,0.13043,0.08497,0.06417,0.09091,0.04771,0.04912,0.04124,0.03872,0.05743
"2019-09-24",0.06987,0.06977,0.0593,0.03277,0.05,0.10586,0.04082,0.06745,0.03429,0.11642,0.09524,0.09914,0.0443,0.07231,0.07484,0.10508,0.06573,0.0322,0.07393,0.0838,0.10667,0.06414,0.06803,0.0871,0.09215,0.06419,0.05638,0.10569,0.04864,0.02128,0.04659,0.02057,0.03878
"2019-09-25",0.07658,0.08876,0.04569,0.03687,0.03269,0.08571,0.07317,0.0625,0.02767,0.07273,0.08377,0.10046,0.08805,0.05951,0.04569,0.08333,0.08434,0.04735,0.05357,0.13016,0.10274,0.07671,0.08467,0.0598,0.11348,0.09938,0.07407,0.14,0.0373,0.04167,0.05185,0.0467,0.03967
"2019-09-26",0.07576,0.04734,0.05274,0.03092,0.02332,0.11034,0.04255,0.06284,0.03571,0.08696,0.08504,0.08696,0.07477,0.06713,0.06688,0.11583,0.07609,0.04553,0.05702,0.09706,0.125,0.08333,0.10123,0.07241,0.10277,0.08418,0.09174,0.11765,0.03565,0.03469,0.04049,0.03636,0.03471
"2019-09-27",0.07018,0.0565,0.04005,0.03676,0.04769,0.08877,0.0625,0.05587,0.03393,0.08591,0.09509,0.06512,0.05678,0.06571,0.0717,0.0692,0.06202,0.0437,0.04301,0.12773,0.11644,0.06416,0.06699,0.0662,0.08365,0.07299,0.07921,0.11765,0.03881,0.03785,0.04833,0.03817,0.02909
"2019-09-28",0.09896,0.13772,0.06358,0.04822,0.05155,0.12689,0.11864,0.0678,0.03766,0.06826,0.08257,0.11454,0.05965,0.06022,0.07531,0.11737,0.07317,0.05096,0.08796,0.17937,0.1037,0.07704,0.14943,0.03774,0.05639,0.07092,0.07241,0.08537,0.03963,0.07143,0.05469,0.04696,0.05301
"2019-09-29",0.07732,0.16393,0.05895,0.04723,0.05865,0.13736,0.06818,0.08497,0.05078,0.10672,0.08117,0.12919,0.09524,0.06222,0.07979,0.16601,0.09048,0.05253,0.08936,0.10569,0.12605,0.08696,0.10283,0.07554,0.09633,0.0696,0.07012,0.07692,0.05892,0.04339,0.07115,0.03753,0.05481
"2019-09-30",0.08621,0.08889,0.0451,0.03846,0.03608,0.11801,0.07692,0.10933,0.0394,0.08383,0.0992,0.08072,0.07375,0.04924,0.08192,0.10284,0.10044,0.04306,0.05085,0.10264,0.09934,0.04885,0.08121,0.0708,0.10714,0.06164,0.09231,0.20513,0.05199,0.04137,0.03367,0.03234,0.04913
"2019-10-01",0.05485,0.10588,0.04009,0.04639,0.03521,0.14628,0.07317,0.08309,0.0303,0.08911,0.08971,0.09362,0.03974,0.05128,0.06667,0.11261,0.06466,0.04252,0.04641,0.09302,0.07031,0.07984,0.10758,0.02614,0.08727,0.05639,0.05042,0.13636,0.03962,0.04469,0.04706,0.03053,0.04218
"2019-10-02",0.05189,0.06358,0.05703,0.02703,0.03145,0.1344,0.13333,0.07965,0.04318,0.07407,0.1159,0.07456,0.04651,0.05121,0.05307,0.09615,0.07925,0.03953,0.08482,0.0875,0.11842,0.06122,0.08831,0.08176,0.12355,0.07372,0.05307,0.13208,0.04744,0.02887,0.04059,0.04509,0.03663
