"","Brant County Health Unit","Chatham-Kent Health Unit","City of Hamilton Health Unit","City of Ottawa Health Unit","Durham Regional Health Unit","Grey Bruce Health Unit","Haldimand-Norfolk Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit","Halton Regional Health Unit","Hastings and Prince Edward Counties Health Unit","Kingston, Frontenac and Lennox and Addington Health Unit","Lambton Health Unit","Leeds, Grenville and Lanark District Health Unit","Middlesex-London Health Unit","Niagara Regional Area Health Unit","North Bay Parry Sound District Health Unit","Northwestern Health Unit","Peel Public Health","Peterborough Public Health","Porcupine Health Unit","Renfrew County and District Health Unit","Simcoe Muskoka District Health Unit","Southwestern Public Health","Sudbury and District Health Unit","The District of Algoma Health Unit","The Eastern Ontario Health Unit","Thunder Bay District Health Unit","Timiskaming Health Unit","Toronto Public Health","Waterloo Health Unit","Wellington-Dufferin-Guelph Health Unit","Windsor-Essex County Health Unit","York Regional Health Unit"
"2019-09-23",16,15,49,39,22,65,1,48,28,32,31,22,30,42,32,35,25,58,15,31,14,54,39,18,39,26,24,9,146,28,12,17,58
"2019-09-24",16,12,58,31,33,47,2,23,18,39,38,23,14,53,47,31,14,38,19,30,16,49,30,27,27,19,19,13,132,11,13,8,38
"2019-09-25",17,15,44,33,22,39,3,22,14,24,32,22,28,41,27,22,21,58,12,41,15,55,37,18,32,32,28,14,105,21,14,17,38
"2019-09-26",15,8,50,29,16,48,2,23,17,26,29,18,24,48,41,30,21,52,13,33,19,60,41,21,26,25,30,12,98,17,10,14,32
"2019-09-27",16,10,34,34,30,34,3,20,17,25,31,14,18,46,38,20,16,51,8,41,17,46,28,19,22,20,24,10,108,19,13,15,27
"2019-09-28",19,23,55,42,35,42,7,20,18,20,27,26,17,43,43,25,15,61,19,40,14,52,52,10,15,20,21,7,103,35,14,17,51
"2019-09-29",15,30,53,40,39,50,3,26,26,27,25,27,28,42,45,42,19,56,21,26,15,62,40,21,21,19,23,7,150,22,18,14,49
"2019-09-30",20,16,46,37,25,57,4,41,21,28,37,18,25,39,53,29,23,54,12,35,15,36,35,24,33,18,36,24,140,23,10,13,48
"2019-10-01",13,18,37,43,25,61,3,29,16,27,34,22,12,38,37,25,15,48,11,28,9,59,44,8,24,15,18,12,108,24,12,12,38
"2019-10-02",11,11,56,23,20,59,6,27,19,22,43,17,16,36,32,20,21,44,19,28,18,45,34,26,32,23,19,14,128,14,11,17,33
"2019-10-03",18,20,27,32,25,56,1,23,26,34,34,26,25,43,36,23,14,51,10,35,13,37,31,19,28,15,26,9,109,27,8,18,46
"2019-10-04",17,8,40,32,29,52,2,28,12,11,27,22,24,37,34,18,18,38,18,34,15,53,32,24,30,18,26,15,114,19,10,17,36
"2019-10-05",14,18,55,44,20,50,3,29,14,32,20,22,23,38,53,22,17,55,17,28,9,61,43,23,26,21,19,15,149,32,9,13,39
"2019-10-06",23,12,55,53,21,58,2,42,17,25,24,38,42,47,49,15,16,60,21,30,18,67,39,10,33,18,31,16,151,32,16,27,57
"2019-10-07",22,13,40,39,31,64,6,48,25,28,34,32,23,50,45,15,16,54,22,43,12,55,43,21,20,26,24,11,148,25,7,20,34
"2019-10-08",20,13,39,33,39,55,2,23,18,27,32,25,19,41,28,15,19,48,10,41,17,47,31,18,37,23,17,25,136,24,6,17,46
"2019-10-09",19,9,42,26,22,50,6,30,23,23,33,22,25,36,39,16,11,47,15,44,19,64,31,19,30,27,27,14,140,33,14,18,38
"2019-10-10",20,11,37,36,25,60,2,25,20,25,32,19,26,44,33,18,22,48,9,34,16,40,24,23,21,21,23,22,131,23,10,11,40
