"","Brant County Health Unit","Chatham-Kent Health Unit","City of Hamilton Health Unit","City of Ottawa Health Unit","Durham Regional Health Unit","Grey Bruce Health Unit","Haldimand-Norfolk Health Unit","Haliburton, Kawartha, Pine Ridge District Health Unit","Halton Regional Health Unit","Hastings and Prince Edward Counties Health Unit","Huron County Health Unit","Kingston, Frontenac and Lennox and Addington Health Unit","Lambton Health Unit","Leeds, Grenville and Lanark District Health Unit","Middlesex-London Health Unit","Niagara Regional Area Health Unit","North Bay Parry Sound District Health Unit","Northwestern Health Unit","Peel Public Health","Perth District Health Unit","Peterborough Public Health","Porcupine Health Unit","Renfrew County and District Health Unit","Simcoe Muskoka District Health Unit","Southwestern Public Health","Sudbury and District Health Unit","The District of Algoma Health Unit","The Eastern Ontario Health Unit","Thunder Bay District Health Unit","Timiskaming Health Unit","Toronto Public Health","Waterloo Health Unit","Wellington-Dufferin-Guelph Health Unit","Windsor-Essex County Health Unit","York Regional Health Unit"
"2019-09-23",6.154,8.38,4.588,3.835,3.022,13.211,2.273,11.794,4.904,9.357,0,7.75,9.442,7.538,5.316,4.908,11.824,9.804,4.315,0,6.048,8.201,7.692,6.642,8.091,5.471,13.043,8.497,6.417,9.091,4.771,4.912,4.124,3.872,5.743
"2019-09-24",6.987,6.977,5.93,3.277,5,10.586,4.082,6.745,3.429,11.642,0,9.524,9.914,4.43,7.231,7.484,10.508,6.573,3.22,0,7.393,8.38,10.667,6.414,6.803,8.71,9.215,6.419,5.638,10.569,4.864,2.128,4.659,2.057,3.878
"2019-09-25",7.658,8.876,4.569,3.687,3.269,8.571,7.317,6.25,2.767,7.273,0,8.377,10.046,8.805,5.951,4.569,8.333,8.434,4.735,0,5.357,13.016,10.274,7.671,8.467,5.98,11.348,9.938,7.407,14,3.73,4.167,5.185,4.67,3.967
"2019-09-26",7.576,4.734,5.274,3.092,2.332,11.034,4.255,6.284,3.571,8.696,0,8.504,8.696,7.477,6.713,6.688,11.583,7.609,4.553,0,5.702,9.706,12.5,8.333,10.123,7.241,10.277,8.418,9.174,11.765,3.565,3.469,4.049,3.636,3.471
"2019-09-27",7.018,5.65,4.005,3.676,4.769,8.877,6.25,5.587,3.393,8.591,0,9.509,6.512,5.678,6.571,7.17,6.92,6.202,4.37,0,4.301,12.773,11.644,6.416,6.699,6.62,8.365,7.299,7.921,11.765,3.881,3.785,4.833,3.817,2.909
"2019-09-28",9.896,13.772,6.358,4.822,5.155,12.689,11.864,6.78,3.766,6.826,0,8.257,11.454,5.965,6.022,7.531,11.737,7.317,5.096,0,8.796,17.937,10.37,7.704,14.943,3.774,5.639,7.092,7.241,8.537,3.963,7.143,5.469,4.696,5.301
"2019-09-29",7.732,16.393,5.895,4.723,5.865,13.736,6.818,8.497,5.078,10.672,0,8.117,12.919,9.524,6.222,7.979,16.601,9.048,5.253,0,8.936,10.569,12.605,8.696,10.283,7.554,9.633,6.96,7.012,7.692,5.892,4.339,7.115,3.753,5.481
"2019-09-30",8.621,8.889,4.51,3.846,3.608,11.801,7.692,10.933,3.94,8.383,0,9.92,8.072,7.375,4.924,8.192,10.284,10.044,4.306,0,5.085,10.264,9.934,4.885,8.121,7.08,10.714,6.164,9.231,20.513,5.199,4.137,3.367,3.234,4.913
"2019-10-01",5.485,10.588,4.009,4.639,3.521,14.628,7.317,8.309,3.03,8.911,0,8.971,9.362,3.974,5.128,6.667,11.261,6.466,4.252,0,4.641,9.302,7.031,7.984,10.758,2.614,8.727,5.639,5.042,13.636,3.962,4.469,4.706,3.053,4.218
"2019-10-02",5.189,6.358,5.703,2.703,3.145,13.44,13.333,7.965,4.318,7.407,0,11.59,7.456,4.651,5.121,5.307,9.615,7.925,3.953,0,8.482,8.75,11.842,6.122,8.831,8.176,12.355,7.372,5.307,13.208,4.744,2.887,4.059,4.509,3.663
"2019-10-03",7.759,11.494,3.118,3.695,3.918,13.302,2.222,6.534,5.882,10.272,0,9.524,12.037,7.622,6.476,6.593,9.426,5.578,4.67,0,4.902,11.706,8.904,5.301,8.031,6.835,9.894,5.535,7.625,10.714,4.451,5.51,3.347,4.749,5.005
"2019-10-04",8.995,5.442,4.866,3.616,4.589,12.53,5,8.75,2.575,3.654,0,7.895,10.526,7.453,5.271,5.695,8.108,7.5,3.393,0,8.257,10.272,9.615,7.852,7.767,8.633,10.638,6.122,8.1,17.857,4.405,3.942,4.292,4.521,3.974
"2019-10-05",7.609,11.392,6.901,5.226,3.268,14.493,7.692,9.966,3.037,10.39,0,6.92,11.168,7.616,6.376,9.797,10.945,7.522,5,0,8.5,10.938,8.738,9.531,13.272,8.614,10.833,8.333,6.169,18.519,5.855,6.531,3.782,3.218,4.281
"2019-10-06",11.5,8,6.336,5.681,3.079,14.684,4,13.084,3.353,8.306,0,6.469,16.17,13.953,6.724,9.074,6.637,6.557,5.495,0,10.048,9.554,12.5,9.191,10,3.831,12.84,6.522,9.038,18.605,5.651,6.324,5.948,6.75,6.129
"2019-10-07",9.483,6.878,4.167,3.959,4.223,14.159,12.245,12.533,4.579,8,0,8.293,13.793,5.974,6.369,6.818,6.303,7.018,4.643,0,8.907,11.111,7.317,7.024,10.07,6.667,7.194,7.602,6.17,11.458,5.162,4.647,2.789,4.878,3.445
"2019-10-08",8.811,7.143,4.467,3.466,5.556,11.677,6.061,6.319,3.516,9.03,0,9.302,11.211,5.367,5.925,4.73,6.726,7.983,4.32,0,4.444,11.111,11.184,6.201,7.969,5.573,13.357,7.904,4.439,21.739,4.892,4.511,2.214,4.416,5.044
"2019-10-09",9.005,5.488,4.526,3.041,3.279,11.876,9.524,8.357,4.852,8.042,0,9.091,10.138,7.31,5.607,6.633,7.111,4.603,4.048,0,6.787,12.607,10.857,8.545,8.052,5.975,10.989,8.464,7.2,14.141,5.02,6.31,5.303,4.986,4.176
"2019-10-10",10.05,6.395,3.996,4.143,3.748,13.825,4.762,7.576,4.202,8.711,0,8.815,9.223,8.28,6.103,6.145,8,8.943,4.24,0,4.054,10.759,10.738,5.348,6.685,7.372,8.203,6.774,6.15,26.19,4.707,4.389,4.367,2.989,4.376
"2019-10-11",13.023,9.259,4.927,4.308,3.918,12.815,5.357,9.116,4.008,8.054,0,8.914,9.906,9.091,5.985,5.448,6.579,10.236,4.885,0,7.732,10.826,11.765,6.483,8.649,7.895,13.091,5.128,5.491,10,5.284,5.019,6.809,5.263,4.035
"2019-10-12",7.101,10.127,4.982,4.64,6.396,15.152,6,9.441,5.096,9.609,0,9.615,15.493,9.556,9.105,10.036,10.638,6.019,5.561,0,8.261,15.018,12.782,8.542,16.514,8.681,11.864,12.351,6.885,17.333,6.255,6.957,8.368,6.128,5.198
"2019-10-13",18.135,9.259,6.69,5.307,8.75,14.417,8.824,11.785,6.769,14,0,9.718,11.22,12.04,7.515,7.925,9.091,7.772,6.476,0,7.111,14.122,6.716,10.935,9.189,10.943,12.903,9.556,7.643,13.75,6.81,7.44,8.257,6.383,6.783
"2019-10-14",14.783,12.105,8.98,7.804,6.806,18.768,15,12.5,7.736,10.932,0,11.573,15.657,14.103,11.912,8.787,13.084,6.28,7.795,0,11.454,11.027,13.433,8.201,14.806,10.377,17.308,14.717,12.923,14.433,7.527,9.829,5.859,5.882,6.848
"2019-10-15",13.525,9.392,6.667,4.409,5.939,14.113,4.412,7.507,4.323,10.086,0,9.259,10.092,12.272,6.362,6.644,10.256,10.196,5.246,0,7.347,14.164,5.769,9.416,9.501,9.763,11.268,8.163,9.973,13.158,5.398,5.333,2.963,2.799,4.985
"2019-10-16",7.589,12.941,5.263,4.696,2.832,12.848,4.878,8.621,3.233,9.122,0,8.02,14.428,7.349,6.322,6.803,11.504,11.872,4.478,0,9.589,10.541,12.658,8.99,10,3.136,11.842,7.143,5.152,17.117,4.694,4.095,4.292,4.076,5.402
"2019-10-17",10.582,10.526,5.945,3.469,3.968,15.404,2.703,8.889,4.662,7.767,0,8.54,11.005,9.384,5.947,7.624,8.955,7.018,4.36,0,5.556,10.606,9.155,6.987,10.831,5.806,10.265,5.622,7.396,11.111,4.593,5.761,3.968,4.494,4.982
"2019-10-18",10.294,11.111,5.386,3.828,4.206,15.865,9.524,8.721,5.87,8.392,0,9.066,8,9.309,6.301,7.468,9.906,11.111,5.187,0,8.333,12.838,7.031,6.525,7.353,6.667,10.078,6.498,6.59,6.931,4.979,5.051,4.8,3.476,4.586
